City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Assare,BR,-6.8744,-39.875,74.08,72,98,2.51,overcast clouds
298,Noratus,AM,40.3755,45.1772,44.65,74,77,4.23,broken clouds
299,Fatick,SN,14.3581,-16.5858,79.3,65,55,7.81,broken clouds
300,Constitucion,CL,-35.3333,-72.4167,52.88,82,6,11.74,clear sky
301,Poltavka,RU,54.3663,71.7632,30.2,96,100,18.84,light snow
302,Srednekolymsk,RU,67.45,153.6833,16.99,92,100,13.69,overcast clouds
303,Mbeya,TZ,-8.9,33.45,59.56,64,12,5.55,few clouds
304,Mogadishu,SO,2.0371,45.3438,77.99,85,79,10.94,broken clouds
305,Huarmey,PE,-10.0681,-78.1522,61.95,87,83,8.63,broken clouds
306,Aasiaat,GL,68.7098,-52.8699,22.75,82,100,10.94,overcast clouds
307,Black River,JM,18.0264,-77.8487,76.68,83,97,5.35,overcast clouds
308,Dunedin,NZ,-45.8742,170.5036,46.8,93,100,1.99,overcast clouds
309,Lively,CA,46.4334,-81.1498,36.01,87,93,11.23,overcast clouds
310,Sistranda,NO,63.7256,8.834,46.36,79,100,6.64,moderate rain
311,Sarangani,PH,5.4033,125.4636,83.61,77,88,20.76,light rain
312,Lashio,MM,22.9333,97.75,75.99,72,31,2.01,scattered clouds
313,Puerto Escondido,MX,15.85,-97.0667,81.43,61,40,3.44,scattered clouds
314,Isangel,VU,-19.55,169.2667,80.28,74,15,6.73,few clouds
315,Taltal,CL,-25.4,-70.4833,60.76,70,1,3.0,clear sky
316,Geraldton,AU,-28.7667,114.6,70.21,49,0,13.8,clear sky
317,Ribeirao Branco,BR,-24.2208,-48.7656,57.92,86,0,2.91,clear sky
318,Bezhetsk,RU,57.7851,36.6965,36.97,84,100,9.01,overcast clouds
319,Camopi,GF,3.1655,-52.3158,72.59,96,89,2.13,overcast clouds
320,Zhigansk,RU,66.7697,123.3711,28.09,87,100,20.07,overcast clouds
321,Kanniyakumari,IN,8.0833,77.5667,81.46,71,23,5.84,few clouds
